,0,1,2,3,4,5
0,a,q0,A,a,0,q0
1,a,q0,A,a,0,q0
2,a,q0,B,e,0,q2
3,a,q0,D,a,0,q0
4,a,q0,C,b,0,q4
5,e,q2,A,a,0,q0
6,e,q2,D,e,0,q6
7,e,q2,B,f,0,q7
8,e,q2,C,e,0,q8
9,b,q4,D,a,0,q0
10,b,q4,B,b,0,q10
11,b,q4,C,c,0,q11
12,b,q4,A,b,0,q12
13,e,q6,C,e,0,q13
14,e,q6,A,a,0,q14
15,e,q6,B,f,0,q15
16,e,q6,D,e,0,q16
17,f,q7,A,e,0,q17
18,f,q7,B,f,0,q18
19,f,q7,C,f,0,q19
20,f,q7,D,f,0,q18
21,e,q8,D,e,0,q13
22,e,q8,A,a,0,q22
23,e,q8,B,f,0,q23
24,e,q8,C,e,0,q13
25,b,q10,A,b,0,q25
26,b,q10,D,a,0,q26
27,b,q10,B,b,0,q27
28,b,q10,C,c,0,q28
29,c,q11,D,b,0,q29
30,c,q11,B,e,0,q30
31,c,q11,A,c,0,q31
32,c,q11,C,b,0,q32
33,b,q12,A,b,0,q33
34,b,q12,C,c,0,q34
35,b,q12,B,b,0,q25
36,b,q12,D,a,0,q36
37,e,q13,D,e,0,q13
38,e,q13,B,f,0,q23
39,e,q13,C,e,0,q39
40,e,q13,A,a,0,q22
41,a,q14,D,a,0,q0
42,a,q14,B,e,0,q2
43,a,q14,A,a,0,q0
44,a,q14,C,b,0,q4
45,f,q15,D,f,0,q18
46,f,q15,C,f,0,q19
47,f,q15,A,e,0,q17
48,f,q15,B,f,0,q15
49,e,q16,A,a,0,q49
50,e,q16,B,f,0,q15
51,e,q16,D,e,0,q16
52,e,q16,C,e,0,q13
53,e,q17,B,f,0,q15
54,e,q17,A,a,0,q54
55,e,q17,C,e,0,q55
56,e,q17,D,e,0,q56
57,f,q18,C,f,0,q15
58,f,q18,D,f,0,q58
59,f,q18,A,e,0,q17
60,f,q18,B,f,0,q15
61,f,q19,B,f,0,q15
62,f,q19,C,f,0,q15
63,f,q19,A,e,0,q17
64,f,q19,D,f,0,q58
65,a,q22,B,e,0,q2
66,a,q22,D,a,0,q0
67,a,q22,C,b,0,q4
68,a,q22,A,a,0,q0
69,f,q23,C,f,0,q15
70,f,q23,B,f,0,q15
71,f,q23,A,e,0,q17
72,f,q23,D,f,0,q58
73,b,q25,B,b,0,q25
74,b,q25,A,b,0,q33
75,b,q25,C,c,0,q34
76,b,q25,D,a,0,q36
77,a,q26,B,e,0,q77
78,a,q26,D,a,0,q78
79,a,q26,A,a,0,q0
80,a,q26,C,b,0,q4
81,b,q27,A,b,0,q25
82,b,q27,B,b,0,q25
83,b,q27,D,a,0,q36
84,b,q27,C,c,0,q34
85,c,q28,D,b,0,q29
86,c,q28,B,e,0,q30
87,c,q28,A,c,0,q31
88,c,q28,C,b,0,q88
89,b,q29,B,b,0,q89
90,b,q29,A,b,0,q90
91,b,q29,D,a,0,q91
92,b,q29,C,c,0,q28
93,e,q30,C,e,0,q93
94,e,q30,B,g,0,q94
95,e,q30,D,e,0,q95
96,e,q30,A,c,0,q96
97,c,q31,A,c,0,q97
98,c,q31,B,e,0,q98
99,c,q31,D,b,0,q99
100,c,q31,C,b,0,q88
101,b,q32,C,d,0,q101
102,b,q32,A,b,0,q102
103,b,q32,D,c,0,q103
104,b,q32,B,b,0,q104
105,b,q33,A,b,0,q25
106,b,q33,D,a,0,q36
107,b,q33,C,c,0,q34
108,b,q33,B,b,0,q25
109,c,q34,D,b,0,q29
110,c,q34,C,b,0,q32
111,c,q34,B,e,0,q30
112,c,q34,A,c,0,q31
113,a,q36,D,a,0,q78
114,a,q36,B,e,0,q77
115,a,q36,C,b,0,q115
116,a,q36,A,a,0,q0
117,e,q39,C,e,0,q39
118,e,q39,B,f,0,q118
119,e,q39,A,a,0,q119
120,e,q39,D,e,0,q13
121,a,q49,C,b,0,q121
122,a,q49,D,a,0,q0
123,a,q49,A,a,0,q0
124,a,q49,B,e,0,q2
125,a,q54,A,a,0,q0
126,a,q54,C,b,0,q115
127,a,q54,B,e,0,q2
128,a,q54,D,a,0,q0
129,e,q55,A,a,0,q119
130,e,q55,D,e,0,q13
131,e,q55,B,f,0,q15
132,e,q55,C,e,0,q13
133,e,q56,C,e,0,q13
134,e,q56,B,f,0,q15
135,e,q56,D,e,0,q135
136,e,q56,A,a,0,q0
137,f,q58,A,e,0,q137
138,f,q58,D,f,0,q138
139,f,q58,B,f,0,q58
140,f,q58,C,f,0,q140
141,e,q77,B,f,0,q7
142,e,q77,C,e,0,q13
143,e,q77,A,a,0,q0
144,e,q77,D,e,0,q135
145,a,q78,C,b,0,q115
146,a,q78,D,a,0,q36
147,a,q78,B,e,0,q2
148,a,q78,A,a,0,q0
149,b,q88,A,b,0,q102
150,b,q88,B,b,0,q27
151,b,q88,C,d,0,q101
152,b,q88,D,c,0,q103
153,b,q89,A,b,0,q25
154,b,q89,B,b,0,q27
155,b,q89,C,c,0,q28
156,b,q89,D,a,0,q36
157,b,q90,C,c,0,q157
158,b,q90,D,a,0,q158
159,b,q90,B,b,0,q25
160,b,q90,A,b,0,q25
161,a,q91,D,a,0,q36
162,a,q91,A,a,0,q0
163,a,q91,B,e,0,q2
164,a,q91,C,b,0,q115
165,e,q93,B,g,0,q165
166,e,q93,A,c,0,q166
167,e,q93,C,e,0,q39
168,e,q93,D,e,0,q135
169,g,q94,B,e,0,q169
170,g,q94,D,e,0,q170
171,g,q94,A,e,0,q171
172,g,q94,C,b,0,q172
173,g,q94,D,b,0,q173
174,g,q94,A,f,0,q174
175,g,q94,C,c,0,q175
176,g,q94,C,f,0,q176
177,g,q94,C,e,0,q177
178,g,q94,B,b,0,q178
179,g,q94,B,c,0,q179
180,g,q94,B,f,0,q180
181,g,q94,D,f,0,q181
182,g,q94,A,b,0,q182
183,g,q94,A,c,0,q183
184,g,q94,C,a,0,q184
185,g,q94,B,d,0,q185
186,g,q94,C,d,0,q186
187,g,q94,B,a,0,q187
188,g,q94,D,d,0,q188
189,g,q94,A,a,0,q189
190,e,q95,B,g,0,q190
191,e,q95,C,e,0,q191
192,e,q95,D,e,0,q135
193,e,q95,A,c,0,q193
194,c,q96,A,c,0,q97
