,0,1,2,3,4,5
0,a,q0,A,a,0,q0
1,b,q0,A,b,0,q0
2,d,q0,A,d,0,q0
3,g,q0,A,g,1,q0
4,a,q0,A,a,0,q0
5,a,q0,B,b,0,q0
6,a,q0,C,d,0,q0
7,b,q0,A,b,0,q0
8,b,q0,B,e,0,q5
9,b,q0,C,d,0,q0
10,b,q0,C,a,0,q0
11,b,q0,B,c,0,q8
12,d,q0,A,d,0,q0
13,d,q0,B,b,0,q0
14,d,q0,C,f,0,q11
15,d,q0,C,c,0,q8
16,d,q0,A,a,0,q0
17,d,q0,B,a,0,q0
18,g,q0,B,d,0,q15
19,g,q0,C,b,0,q16
20,g,q0,B,b,0,q16
21,g,q0,A,d,0,q15
22,g,q0,C,d,0,q15
23,g,q0,A,b,0,q16
24,g,q0,C,f,0,q21
25,g,q0,C,e,0,q5
26,g,q0,B,f,0,q21
27,g,q0,A,e,0,q24
28,g,q0,B,e,0,q5
29,g,q0,A,f,0,q26
30,g,q0,A,a,0,q27
31,g,q0,C,a,0,q27
32,g,q0,B,a,0,q27
33,g,q0,C,c,0,q30
34,g,q0,A,c,0,q31
35,g,q0,B,c,0,q30
36,e,q5,B,f,0,q11
37,e,q5,C,b,0,q0
38,e,q5,A,a,0,q0
39,e,q5,A,g,0,q36
40,c,q8,C,b,0,q0
41,c,q8,A,d,0,q0
42,c,q8,B,d,0,q0
43,f,q11,C,e,0,q40
44,f,q11,B,d,0,q0
45,f,q11,A,b,0,q0
46,d,q15,A,d,0,q0
47,d,q15,C,f,0,q11
48,d,q15,B,b,0,q0
49,d,q15,C,c,0,q8
50,d,q15,B,a,0,q0
51,d,q15,A,a,0,q0
52,b,q16,A,b,0,q0
53,b,q16,C,d,0,q0
54,b,q16,B,e,0,q5
55,b,q16,B,c,0,q8
56,b,q16,C,a,0,q0
57,f,q21,C,e,0,q40
58,f,q21,A,b,0,q0
59,f,q21,B,d,0,q0
60,e,q24,C,b,0,q57
61,e,q24,B,f,0,q58
62,e,q24,A,g,0,q59
63,e,q24,A,a,0,q60
64,f,q26,A,b,0,q61
65,f,q26,C,e,0,q62
66,f,q26,B,d,0,q63
67,a,q27,A,a,0,q0
68,a,q27,B,b,0,q0
69,a,q27,C,d,0,q0
70,c,q30,B,d,0,q0
71,c,q30,C,b,0,q0
72,c,q30,A,d,0,q0
73,c,q31,B,d,0,q70
74,c,q31,A,d,0,q70
75,c,q31,C,b,0,q72
76,g,q36,C,b,0,q73
77,g,q36,B,b,0,q73
78,g,q36,A,b,0,q73
79,g,q36,A,d,0,q76
80,g,q36,C,d,0,q76
81,g,q36,A,f,0,q26
82,g,q36,B,e,0,q40
83,g,q36,C,e,0,q40
84,g,q36,B,d,0,q76
85,g,q36,A,e,0,q24
86,g,q36,B,f,0,q83
87,g,q36,C,f,0,q83
88,g,q36,A,a,0,q85
89,g,q36,C,a,0,q85
90,g,q36,C,c,0,q87
91,g,q36,B,c,0,q87
92,g,q36,A,c,0,q31
93,g,q36,B,a,0,q85
94,e,q40,C,b,0,q91
95,e,q40,B,f,0,q92
96,e,q40,A,g,0,q36
97,e,q40,A,a,0,q94
98,b,q57,A,b,0,q0
99,b,q57,B,e,0,q5
100,b,q57,C,d,0,q0
101,f,q58,A,b,0,q98
102,f,q58,B,d,0,q99
103,f,q58,C,e,0,q40
104,g,q59,B,c,0,q101
105,g,q59,B,d,0,q102
106,g,q59,B,f,0,q83
107,g,q59,C,b,0,q73
108,g,q59,C,d,0,q105
109,g,q59,C,f,0,q58
110,g,q59,A,a,0,q85
111,g,q59,A,d,0,q76
112,g,q59,A,e,0,q24
113,g,q59,B,a,0,q85
114,g,q59,B,b,0,q73
115,g,q59,C,e,0,q40
116,a,q60,C,d,0,q0
117,a,q60,B,b,0,q0
118,a,q60,A,a,0,q0
119,b,q61,B,e,0,q5
120,b,q61,C,d,0,q0
121,b,q61,A,b,0,q0
122,e,q62,B,f,0,q58
123,e,q62,C,b,0,q91
124,e,q62,A,a,0,q94
125,e,q62,A,g,0,q36
126,d,q63,B,b,0,q0
127,d,q63,C,f,0,q11
128,d,q63,A,a,0,q0
129,d,q63,A,d,0,q0
130,d,q70,B,a,0,q0
131,d,q70,C,c,0,q8
132,d,q70,A,d,0,q0
133,b,q72,C,a,0,q0
134,b,q72,B,c,0,q8
135,b,q72,A,b,0,q0
136,b,q73,A,b,0,q0
137,b,q73,B,e,0,q5
138,b,q73,C,d,0,q0
139,b,q73,C,a,0,q0
140,b,q73,B,c,0,q8
141,d,q76,A,d,0,q0
142,d,q76,B,b,0,q0
143,d,q76,A,a,0,q0
144,d,q76,C,c,0,q8
145,d,q76,C,f,0,q11
146,d,q76,B,a,0,q0
147,f,q83,A,b,0,q91
148,f,q83,B,d,0,q99
149,f,q83,C,e,0,q40
150,a,q85,B,b,0,q0
151,a,q85,A,a,0,q0
152,a,q85,C,d,0,q0
153,c,q87,A,d,0,q0
154,c,q87,B,d,0,q0
155,c,q87,C,b,0,q0
156,b,q91,A,b,0,q0
157,b,q91,C,d,0,q0
158,b,q91,B,e,0,q5
159,f,q92,C,e,0,q40
160,f,q92,A,b,0,q0
161,f,q92,B,d,0,q0
162,a,q94,B,b,0,q0
163,a,q94,A,a,0,q0
164,a,q94,C,d,0,q0
165,b,q98,B,e,0,q5
166,b,q98,C,d,0,q0
167,b,q98,A,b,0,q0
168,d,q99,A,d,0,q99
169,d,q99,A,a,0,q166
170,d,q99,B,b,0,q167
171,d,q99,C,f,0,q168
172,c,q101,C,b,0,q0
173,d,q102,C,f,0,q58
174,d,q105,A,d,0,q171
175,d,q105,B,a,0,q166
176,a,q166,C,d,0,q173
177,b,q167,B,e,0,q174
178,f,q168,A,b,0,q175
179,d,q171,B,a,0,q176
180,d,q173,A,d,0,q177
181,e,q174,C,b,0,q178
182,b,q175,B,e,0,q179
183,a,q176,A,a,0,q180
184,d,q177,B,a,0,q181
185,b,q178,C,d,0,q182
186,e,q179,C,b,0,q183
187,a,q180,A,a,0,q180
188,a,q181,B,b,0,q185
189,d,q182,A,a,0,q186
190,b,q183,B,e,0,q179
191,b,q185,C,a,0,q188
192,a,q186,B,b,0,q189
193,a,q188,C,d,0,q190
194,b,q189,B,c,0,q191
195,d,q190,C,c,0,q192
196,c,q191,C,b,0,q193
197,c,q192,B,d,0,q194
198,b,q193,C,a,0,q195
199,d,q194,C,c,0,q196
200,a,q195,A,a,0,q197
201,c,q196,C,b,0,q198
202,a,q197,C,d,0,q199
